,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
87519,01 September 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
87596,01 September 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Dan Na Ambassagou,,
87744,01 September 2020,Violence against civilians,Mali,Kayes,Soninke Ethnic Militia (Mali),Civilians (Mali),,Soninke Ethnic Group (Mali)
87748,01 September 2020,Violence against civilians,Mali,Gao,Military Forces of France (2017-),Civilians (Mali),,
87905,01 September 2020,Protests,Mali,Kayes,Protesters (Mali),,Labour Group (Mali),
87944,01 September 2020,Protests,Mali,Bamako,Protesters (Mali),,,
88178,31 August 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Miners (Mali)
88242,31 August 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
88393,31 August 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
88572,31 August 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
88651,31 August 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
88770,30 August 2020,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2020-),,Police Forces of Mali (2020-) Gendarmerie
88782,30 August 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
88918,30 August 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
88970,30 August 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Arab Ethnic Group (Mali); Labour Group (Mali)
90560,27 August 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
91068,26 August 2020,Battles,Mali,Mopti,G5S: G5 Sahel Force (2017-),JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),
92723,23 August 2020,Riots,Mali,Mopti,Rioters (Mali),Civilians (Mali),Pastoralists (Mali); Vigilante Group (Mali); Fulani Ethnic Group (Mali),Dozo Communal Group (Mali)
92727,23 August 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),Farmers (Mali)
93381,22 August 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Miners (Mali)
93383,22 August 2020,Strategic developments,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
93490,22 August 2020,Protests,Mali,Bamako,Protesters (Mali),Rioters (Mali),,
93608,22 August 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Labour Group (Mali)
93801,21 August 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,Civilians (Mali)
93814,21 August 2020,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),JNIM: Group for Support of Islam and Muslims,,
93896,21 August 2020,Explosions/Remote violence,Mali,Segou,Military Forces of Mali (2020-),JNIM: Group for Support of Islam and Muslims,,
94069,21 August 2020,Protests,Mali,Bamako,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
94392,20 August 2020,Protests,Mali,Mopti,Protesters (Mali),,Women (Mali),
94451,20 August 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),Farmers (Mali)
94485,20 August 2020,Battles,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
94511,20 August 2020,Explosions/Remote violence,Mali,Gao,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
94703,20 August 2020,Riots,Mali,Gao,Rioters (Mali),Civilians (Mali),Songhai Ethnic Group (Mali),Arab Ethnic Group (Mali)
94705,20 August 2020,Violence against civilians,Mali,Gao,Arab Ethnic Militia (Mali),Civilians (Mali),,Songhai Ethnic Group (Mali)
94755,20 August 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
94991,19 August 2020,Riots,Mali,Mopti,Rioters (Mali),Police Forces of Mali (2013-2020) Gendarmerie,Former Unidentified Armed Group (Mali),
95355,19 August 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
95624,18 August 2020,Battles,Mali,Bamako,Mutiny of Military Forces of Mali (2013-2020),Military Forces of Mali (2013-2020),,
95630,18 August 2020,Battles,Mali,Koulikoro,Mutiny of Military Forces of Mali (2013-2020),Military Forces of Mali (2013-2020),,
95953,18 August 2020,Riots,Mali,Bamako,Rioters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
95965,18 August 2020,Strategic developments,Mali,Bamako,Mutiny of Military Forces of Mali (2013-2020),Government of Mali (2013-2020),,
95970,18 August 2020,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
96243,17 August 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
96266,17 August 2020,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Forest Guards (Mali),,Police Forces of Mali (2013-2020)
96278,17 August 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-2020),,
96635,17 August 2020,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
96984,16 August 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,
97076,16 August 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
97094,16 August 2020,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020),,
97245,16 August 2020,Riots,Mali,Gao,Rioters (Mali),Civilians (Mali),Songhai Ethnic Group (Mali); Vigilante Group (Mali),Arab Ethnic Group (Mali); MAA: Arab Movement of the Azawad (Platform)
97987,15 August 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
98325,14 August 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,
98341,14 August 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali); Women (Mali)
98417,14 August 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Tuareg Ethnic Group (Mali)
98465,14 August 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,,
99493,12 August 2020,Riots,Mali,Bamako,Rioters (Mali),Police Forces of Mali (2013-2020),M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100056,11 August 2020,Protests,Mali,Tombouctou,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100059,11 August 2020,Protests,Mali,Sikasso,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100061,11 August 2020,Protests,Mali,Segou,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100063,11 August 2020,Protests,Mali,Kayes,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100324,11 August 2020,Protests,Mali,Bamako,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100327,11 August 2020,Protests,Mali,Koulikoro,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100334,11 August 2020,Protests,Mali,Gao,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100337,11 August 2020,Protests,Mali,Tombouctou,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100341,11 August 2020,Protests,Mali,Kayes,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100343,11 August 2020,Protests,Mali,Koulikoro,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100346,11 August 2020,Protests,Mali,Tombouctou,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100362,11 August 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
100373,11 August 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,,
100584,11 August 2020,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),,,
100707,11 August 2020,Protests,Mali,Koulikoro,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100713,11 August 2020,Protests,Mali,Mopti,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100715,11 August 2020,Protests,Mali,Sikasso,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100717,11 August 2020,Protests,Mali,Sikasso,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
100735,10 August 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,Police Forces of Mali (2013-2020) Prison Guards
101020,10 August 2020,Violence against civilians,Mali,Tombouctou,Tuareg Ethnic Militia (Mali),Civilians (Mali),,Tuareg Ethnic Group (Mali)
101409,09 August 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
101681,09 August 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),Military Forces of France (2017-),,
102141,08 August 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Aid Workers (Mali)
102179,08 August 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
102534,07 August 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,,
102621,07 August 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
102760,07 August 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
103257,06 August 2020,Riots,Mali,Kayes,Rioters (Mali),Police Forces of Mali (2013-2020),M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
103302,06 August 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,,
103476,06 August 2020,Violence against civilians,Mali,Tombouctou,Tuareg Ethnic Militia (Mali),Civilians (Mali),,HCUA: High Council for the Unity of Azawad; Tuareg Ethnic Group (Mali); Pastoralists (Mali)
103628,05 August 2020,Violence against civilians,Mali,Gao,Military Forces of Mali (2013-2020),Civilians (Mali),Police Forces of Mali (2013-2020),
103718,05 August 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,
103945,05 August 2020,Protests,Mali,Gao,Protesters (Mali),,,
103948,05 August 2020,Battles,Mali,Gao,Unidentified Armed Group (Mali),MSA: Movement for Azawad Salvation,,
104281,05 August 2020,Riots,Mali,Bamako,Rioters (Mali),Police Forces of Mali (2013-2020),M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
104384,04 August 2020,Riots,Mali,Bamako,Rioters (Mali),Police Forces of Mali (2013-2020),M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
104389,04 August 2020,Battles,Mali,Kayes,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,
104454,04 August 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),,
104580,04 August 2020,Violence against civilians,Mali,Mopti,Dozo Communal Militia (Mali),Civilians (Mali),,Labour Group (Mali)
104848,03 August 2020,Riots,Mali,Bamako,Rioters (Mali),Police Forces of Mali (2013-2020),M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
105035,03 August 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
105073,03 August 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Dawsahak Ethnic Group (Mali)
105372,02 August 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
105559,02 August 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Tuareg Ethnic Group (Mali); Arab Ethnic Group (Mali)
105562,02 August 2020,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Teachers (Mali)
105691,02 August 2020,Battles,Mali,Tombouctou,MAA: Arab Movement of the Azawad (Platform),Tourmouz Clan Militia (Mali),,
105708,02 August 2020,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Military Forces of Mali (2013-2020)
105710,02 August 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-2020),,
105714,02 August 2020,Violence against civilians,Mali,Segou,Military Forces of Mali (2013-2020),Civilians (Mali),,Tuareg Ethnic Group (Mali)
105716,02 August 2020,Strategic developments,Mali,Tombouctou,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020),,
105905,01 August 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Tuareg Ethnic Group (Mali); Arab Ethnic Group (Mali)
106525,31 July 2020,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Labour Group (Mali)
106764,31 July 2020,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020),,
106819,30 July 2020,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Dogon Ethnic Group (Mali); Labour Group (Mali)
107242,30 July 2020,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Dogon Ethnic Group (Mali); Pastoralists (Mali)
107478,29 July 2020,Battles,Mali,Tombouctou,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),,
107531,29 July 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,
107738,29 July 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,,,
107908,28 July 2020,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),Military Forces of Mali (2013-2020),
107986,28 July 2020,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
108062,28 July 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dozo Communal Militia (Mali),Pastoralists (Mali),
108218,28 July 2020,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
108694,27 July 2020,Violence against civilians,Mali,Mopti,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,Labour Group (Mali)
108772,27 July 2020,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Unidentified Armed Group (Mali),,
108843,27 July 2020,Violence against civilians,Mali,Mopti,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,Labour Group (Mali)
109020,27 July 2020,Battles,Mali,Tombouctou,Military Forces of France (2017-),Unidentified Armed Group (Mali),,
109028,27 July 2020,Riots,Mali,Bamako,Rioters (Mali),Unidentified Armed Group (Mali),Vigilante Group (Mali),
109401,26 July 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),Farmers (Mali)
109439,26 July 2020,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
109605,26 July 2020,Riots,Mali,Kayes,Rioters (Mali),,,
109819,25 July 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
109857,25 July 2020,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Dogon Ethnic Group (Mali); Farmers (Mali)
109948,25 July 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
109991,25 July 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,
110231,25 July 2020,Violence against civilians,Mali,Mopti,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,Labour Group (Mali)
110319,25 July 2020,Battles,Mali,Koulikoro,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,
110376,24 July 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Military Forces of Mali (2013-2020),,
110388,24 July 2020,Strategic developments,Mali,Gao,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020),,
110586,24 July 2020,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
110868,23 July 2020,Protests,Mali,Bamako,Protesters (Mali),,URD: Union for the Republic and Democracy,
110870,23 July 2020,Battles,Mali,Tombouctou,Tourmouz Clan Militia (Mali),Oulad Aich Clan Militia (Mali),,MAA: Arab Movement of the Azawad (Platform)
111088,23 July 2020,Strategic developments,Mali,Mopti,Katiba Macina,Civilians (Mali),JNIM: Group for Support of Islam and Muslims,
111109,23 July 2020,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,
111127,23 July 2020,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,
111148,23 July 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),Military Forces of France (2017-),,
111150,23 July 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),Farmers (Mali)
111170,23 July 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),Farmers (Mali)
111436,23 July 2020,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Military Forces of France (2017-),,Military Forces of Mali (2013-2020); Police Forces of Mali (2013-2020) Gendarmerie; Civilians (Mali)
111443,23 July 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,
111741,22 July 2020,Battles,Mali,Menaka,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
111789,22 July 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),Military Forces of France (2017-),,
111961,22 July 2020,Violence against civilians,Mali,Mopti,Military Forces of Mali (2013-2020),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
112161,22 July 2020,Violence against civilians,Mali,Mopti,Military Forces of Mali (2013-2020),Civilians (Mali),,Songhai Ethnic Group (Mali); Muslim Group (Mali); Students (Mali)
112162,22 July 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,Police Forces of Mali (2013-2020)
112198,21 July 2020,Violence against civilians,Mali,Mopti,Dozo Communal Militia (Mali),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
112202,21 July 2020,Violence against civilians,Mali,Segou,Unidentified Armed Group (Mali),Civilians (Mali),,Labour Group (Mali)
112224,21 July 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Teachers (Mali)
112229,21 July 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Aid Workers (Mali)
112840,21 July 2020,Battles,Mali,Gao,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020) Gendarmerie,,
112883,20 July 2020,Protests,Mali,Bamako,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
112886,20 July 2020,Violence against civilians,Mali,Mopti,Dan Na Ambassagou,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
112889,20 July 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),Farmers (Mali)
113169,20 July 2020,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
113535,20 July 2020,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Dogon Ethnic Group (Mali); Farmers (Mali)
113586,20 July 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),Farmers (Mali)
113788,19 July 2020,Violence against civilians,Mali,Sikasso,Military Forces of Mali (2013-2020),Civilians (Burkina Faso),,Miners (Burkina Faso)
114008,19 July 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Fulani Ethnic Militia (Mali),,
114031,19 July 2020,Violence against civilians,Mali,Menaka,Islamic State (Greater Sahara),Civilians (Mali),,Tuareg Ethnic Group (Mali)
114036,19 July 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Military Forces of Mali (2013-2020)
114046,19 July 2020,Battles,Mali,Segou,Dozo Communal Militia (Mali),Dozo Communal Militia (Mali),,
114279,18 July 2020,Violence against civilians,Mali,Gao,Islamic State (Greater Sahara),Civilians (Mali),,Fulani Ethnic Group (Mali); Pastoralists (Mali)
114901,17 July 2020,Violence against civilians,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
114903,17 July 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,,
115004,17 July 2020,Violence against civilians,Mali,Segou,Dozo Communal Militia (Mali),Civilians (Mali),,Dozo Communal Group (Mali)
115011,17 July 2020,Protests,Mali,Tombouctou,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
115014,17 July 2020,Protests,Mali,Tombouctou,Protesters (Mali),,,
115032,17 July 2020,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),,
115244,16 July 2020,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Dogon Ethnic Group (Mali); Farmers (Mali)
115850,16 July 2020,Battles,Mali,Gao,Unidentified Armed Group (Sudan),Military Forces of Mali (2013-2020),,
115864,16 July 2020,Riots,Mali,Bamako,Rioters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
115924,15 July 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,
115978,15 July 2020,Protests,Mali,Mopti,Protesters (Mali),,Health Workers (Mali),
116052,15 July 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
116124,15 July 2020,Battles,Mali,Tombouctou,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
116529,15 July 2020,Battles,Mali,Tombouctou,MAA: Arab Movement of the Azawad (Platform),MAA: Arab Movement of the Azawad (Platform),,
116892,14 July 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
116894,14 July 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
116908,14 July 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
116911,14 July 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
116914,14 July 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
116915,14 July 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
116918,14 July 2020,Violence against civilians,Mali,Mopti,Fulani Ethnic Militia (Mali),Civilians (Mali),Pastoralists (Mali),Dogon Ethnic Group (Mali); Farmers (Mali)
116953,14 July 2020,Violence against civilians,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
117225,14 July 2020,Riots,Mali,Bamako,Rioters (Mali),Police Forces of Mali (2013-2020),M5-RFP: Movement of June 5 - Rally of Patriotic Forces,Police Forces of Mali (2013-2020) Gendarmerie
117230,14 July 2020,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Government of Mali (2013-2020)
117463,13 July 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
117506,13 July 2020,Violence against civilians,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,Dogon Ethnic Group (Mali); Farmers (Mali)
117509,13 July 2020,Strategic developments,Mali,Mopti,Unidentified Armed Group (Mali),Civilians (Mali),,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)
117510,13 July 2020,Violence against civilians,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,
117916,13 July 2020,Riots,Mali,Bamako,Rioters (Mali),Police Forces of Mali (2013-2020),M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
117979,12 July 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),Military Forces of Mali (2013-2020),,
118314,12 July 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
118414,12 July 2020,Riots,Mali,Bamako,Rioters (Mali),Police Forces of Mali (2013-2020),M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
118654,11 July 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
119111,11 July 2020,Riots,Mali,Bamako,Rioters (Mali),Police Forces of Mali (2013-2020),M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
119216,10 July 2020,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-2020) Gendarmerie,,
119407,10 July 2020,Protests,Mali,Kayes,Protesters (Mali),,M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
119628,10 July 2020,Strategic developments,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),JNIM: Group for Support of Islam and Muslims,,
119681,10 July 2020,Riots,Mali,Bamako,Rioters (Mali),Police Forces of Mali (2013-2020),M5-RFP: Movement of June 5 - Rally of Patriotic Forces,
119754,09 July 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),Islamic State (Greater Sahara),,
119953,09 July 2020,Battles,Mali,Mopti,Fulani Ethnic Militia (Mali),Dogon Ethnic Militia (Mali),Pastoralists (Mali),
